"id"~|~"name"~|~"birthdate"~|~"score"~|~"active"
"1087"~|~"Yvonne Horton"~|~"1991-02-18"~|~"79.9"~|~"no"
"1088"~|~"Garrett Rodriguez"~|~"1993-03-21"~|~"94.4"~|~"no"
"1089"~|~"Jeffrey Conley"~|~"1997-04-14"~|~"75.4"~|~"yes"
"1090"~|~"Jason Monroe"~|~"1983-12-31"~|~"84.6"~|~"no"
"1091"~|~"William Ward"~|~"1987-09-10"~|~"79.2"~|~"no"
"1092"~|~"Sherri Reynolds"~|~"1980-05-23"~|~"72.7"~|~"no"
"1093"~|~"Allen Bradley"~|~"1978-10-12"~|~"94.6"~|~"no"
"1094"~|~"Paul Bonilla"~|~"1999-02-09"~|~"75.8"~|~"yes"
"1095"~|~"Mark Mcdaniel"~|~"1988-08-21"~|~"94.1"~|~"no"
"1096"~|~"Christian Mahoney"~|~"1978-07-14"~|~"89.9"~|~"yes"
"1097"~|~"Sarah Carter"~|~"1980-07-30"~|~"88.0"~|~"yes"
"1098"~|~"Melissa Brady"~|~"1981-10-24"~|~"92.4"~|~"no"
"1099"~|~"Stephanie Rogers"~|~"1975-12-08"~|~"80.7"~|~"yes"
"1100"~|~"David Campbell"~|~"1994-01-10"~|~"88.6"~|~"yes"
